Title,Question,Answer,Hint,Popularity/Fun,Difficulty
Mr. Froopaloop's Fiance,"Hans Ernest Froopaloop, Jr. will marry one of three women: Audrey, Brenda, and Charlotte. Here are some facts:
1. Of Audrey and Brenda:
a. Either they both have blue eyes or neither has blue eyes.
b. One has red hair and the other does not.
2. Of Audrey and Charlotte:
a. Either they both have red hair or neither has red hair.
b. One is 5'11"" and the other is not.
3. Of Brenda and Charlotte:
a. One has blue eyes and the other does not.
b. One is 5'11"" and the other is not.
4. Of the three characteristics; blue eyes, red hair and 5'11"":
a. If any of the three women has exactly two of the three characteristics, Mr. Froopaloop will marry the one with the least number of characteristics.
b. If any of the three women has exactly one of the three characteristics, Mr. Froopaloop will marry the one with the greatest number of characteristics.
Who will Mr. Froopaloop marry?","Mr. Froopaloop will marry Charlotte.
Facts 1a and 3a tell us that Charlotte is either the only one with blue eyes or the only one without blue eyes. Facts 1b and 2a tell us that Brenda is either the only one with red hair or the only one without red hair. Facts 2b and 3b tell us that Charlotte is either the only one who is 5'11"" or the only one who isn't 5'11"". Fact 4 tells us that no one woman can have one characteristic while another has two characteristics. This gives us two scenarios:
1. Audrey has blue eyes, does not have red hair, and is 5'11"". Brenda has blue eyes, red hair, and is 5'11"". Charlotte does not have blue eyes, does not have red hair, and is not 5'11"".
2. Audrey does not have blue eyes, has red hair, and is not 5'11"". Brenda does not have blue eyes, does not have red hair, and is not 5'11"". Charlotte has blue eyes, red hair, and is 5'11"".
Fact 4a tells us that in scenario 1, Mr. Froopaloop will marry Charlotte. Fact 4b tells us that in scenario 2, Mr. Froopaloop will marry...Charlotte.",,3.39,2.36
Birth Months,"Four sisters, Sara, Ophelia, Nora, and Dawn, were each born in a different one of the months September, October, November, and December.
""This is terrible,"" said Ophelia one day. ""None of us have an initial that matches the initial of her birth month.""
""I don't mind at all,"" replied the girl who was born in September.
""That's easy for you to say,"" said Nora. ""It would at least be cool if the initial of my birth month was a vowel, but no.""
In which month was each girl born?","Sara was born in October, Ophelia was born in November, Nora was born in December, and Dawn was born in September.
Nora's birth month obviously cannot be November. Since it doesn't start with a vowel, it cannot be October. Since she was talking to the girl who was born in September, it cannot be September. Therefore, it must be December.
The girl born in September obviously cannot be Sara. Since she was talking to both Ophelia and Nora, it cannot be either of them. Therefore, it must be Dawn.
This leaves the girls Sara and Ophelia and the months October and November. Ophelia cannot be born in October, so she must be born in November, and Sara was born in October.",,3.26,1.52
Birbal the Wise - VIII,"Emperor Akbar once ruled over India. He was a wise and intelligent ruler, and he had in his court the Nine Gems, his nine advisors, who were each known for a particular skill. One of these Gems was Birbal, known for his wit and wisdom. The story below is one of the examples of his wit. Do you have it in you to find out the answer?
Emperor Akbar was very fond of Birbal as were many of the village people. However, this made quite a few of Akbar's other ministers jealous.
One day, they decided to come up with a plan to rid them of the ""great"" Birbal. To avoid suspicion from falling on them, they took the help of the emperor's barber in this plan.
A week later, while Akbar was receiving a haircut, the barber lightly mentioned that he knew of someone who could allow Akbar to reach and even converse with his ancestors who had passed away, but he also stated the man who would go to the heavens would have to be witty, intelligent and wise. Akbar instantly recommended Birbal for the task.
Birbal was told that a fire would be lit around him and the smoke would carry him to heaven; however, chanting would protect him from burning to his death. Birbal instantly knew that this was a plan to get rid of him, but not wishing to anger the emperor, he agreed to perform this task in a month. During this period of time, he asked some laborers to build a tunnel connecting his house to the cemetery, where the ""rites"" would be held.
When the day came, Birbal escaped his death by going to his house where he stayed for a month growing out his beard. A month later, he went back to Akbar's palace. When asked about the health of Akbar's ancestors, Birbal replied that they were doing very well but were missing just one thing.
What did Birbal say they were missing in heaven?","Birbal stated that there weren't any barbers in heaven and said that was the reason for his long beard. Since Akbar now knew a way to reach them, he asked for his barber to be sent. Realizing that he would die in the fire, the emperor's barber confessed what he and the ministers did and no one dared to conspire against Birbal again.",,3.18,1.98
The Flawed Game,"A teacher was having trouble getting her students to learn their facts, but she noticed that her students often played the game ""Rock, Paper, Scissors"". She made a game with similar rules in order to encourage the students to learn their facts.
The class would be divided into three teams: Rock, Paper and Scissors. The teacher would ask the students a question and the class would raise their hands if they knew the answer. If the first person to answer the question correctly is in the Rock team, he or she would choose one player from the Scissors team to be eliminated. Similarly, if a player from the Scissors team was first to answer the question, then he or she would eliminate a member from the Paper team. Lastly, if a player from the Paper team was first to answer correctly, he or she would eliminate a member from the Rock team.
The teacher would then continue asking questions until only one team still has members. That team would be declared the winner and all its members would win a small chocolate.
However, as soon as she explained the rules to the class, one particularly smart student immediately found a large flaw that made the game unplayable. Can you do the same?","After one team loses all its members, the team that it eliminates members from will always win. For example, say the Scissors team is the first team to lose all its members. It is now impossible for the Paper team to lose any members, but the Paper team can still eliminate members from Rock team, so it will eventually win (if the Rock team answers questions, there would be no one left for them to eliminate so nothing would happen). This means that the best strategy is actually to avoid answering questions until one team is eliminated. If all the players know this, the game would never end.",Think about what would happen after one team loses all its members.,3.17,1.35
"Brown Eyes, Blue Eyes","On an otherwise deserted and isolated island, 200 perfect logicians are stranded. The islanders are perfectly logical in every decision they make, and they will not do anything unless they are absolutely certain of the outcome. However, they cannot communicate with each other. They are forbidden from speaking with one another, or signing, or writing messages in the sand, else they be smited by the god of the island.
Of the 200 islanders, 100 have blue eyes, and 100 have brown eyes. However, no individual knows what color their own eyes are. There are no reflective surfaces on the island for the inhabitants to see a reflection of their own eyes. They can each see the 199 other islanders and their eye colors, but any given individual does not know if his or her own eyes are brown, blue, or perhaps another color entirely. And remember, they cannot communicate with each other in any way under penalty of death.
Each night, when a ship comes, the islanders have a chance to leave the barren and desolate spit of land they have been marooned on. If an islander tells the captain of the ship the color of his or her own eyes, they may board the ship and leave. If they get it wrong, they will be shot dead.
Now, there is one more person on the island: the guru, who the islanders know to always tell the truth. The guru has green eyes. One day, she stands up before all 200 islanders and says:
""I see a person with blue eyes.""
Who leaves the island? And when do they leave?","All 100 blue-eyed people leave on the 100th night. First, we propose that two blue-eyed people are on the island. They would both leave on the second night, because they would each look at the other blue-eyed person on the second morning and realize that the only reason the other blue-eyed person wouldn't leave on the first night is because they see another person with blue eyes. Seeing no one else with blue eyes, each of these two people realize it must be them. Now consider the case of three blue-eyed islanders. It has been established that if only two people had blue eyes they would leave on the second night. You, the third blue-eyed person in our example, know this, as do the other two blue-eyed people. So when you wake up on the third morning, and the two other blue-eyed people have not left, you know that they must see another person with blue eyes, and you can see that no one else on the island has blue eyes, so you know it must be you. All three of you realize this simultaneously, and all three leave on the third night. If a fourth blue-eyed person is on the island, he will reason the scenario with three blue-eyed people on the island, and when he sees that they have not left the island during the fourth morning, he/she/it will leave the island on the fourth day, and so will all the other blue-eyed people. If we follow this pattern, we will eventually reach the answer of 100 people leaving the island after 100 days.",What would happen if there was only one blue-eyed person on the island and the rest of the islanders were brown-eyed? What about two? What about three?,3.16,2.91
A Man and Two Doors,A man is trapped in a room. The room has only two possible exits: two doors. Through the first door there is a room constructed from magnifying glass. The blazing hot sun instantly fries anything or anyone that enters. Through the second door there is a fire-breathing dragon. How does the man escape?,He waits until night time and then goes through the first door.,,3.14,1.39
The King and the Poison,"In a far away land, it was known that if you drank poison, the only way to save yourself is to drink a stronger poison, which neutralizes the weaker poison. The king that ruled the land wanted to make sure that he possessed the strongest poison in the kingdom, in order to ensure his survival, in any situation. So the king called the kingdom's pharmacist and the kingdom's treasurer, he gave each a week to make the strongest poison. Then, each would drink the other one's poison, then his own, and the one that will survive, will be the one that had the stronger poison.
The pharmacist went straight to work, but the treasurer knew he had no chance, for the pharmacist was much more experienced in this field, so instead, he made up a plan to survive and make sure the pharmacist dies. On the last day the pharmacist suddenly realized that the treasurer would know he had no chance, so he must have a plan. After a little thought, the pharmacist realized what the treasurer's plan must be, and he concocted a counter plan, to make sure he survives and the treasurer dies. When the time came, the king summoned both of them. They drank the poisons as planned, and the treasurer died, the pharmacist survived, and the king didn't get what he wanted.
What exactly happened there?","The treasurer's plan was to drink a weak poison prior to the meeting with the king, and then he would drink the pharmacist's strong poison, which would neutralize the weak poison. As his own poison he would bring water, which will have no effect on him, but the pharmacist who would drink the water, and then his poison would surely die. When the pharmacist figured out this plan, he decided to bring water as well. So the treasurer who drank poison earlier, drank the pharmacist's water, then his own water, and died of the poison he drank before. The pharmacist would drink only water, so nothing will happen to him. And because both of them brought the king water, he didn't get a strong poison like he wanted.",,3.13,2.81
The Opposite Gender,"Sam, Alex, Charlie, and Jordan are related. One of them is the opposite gender from the other three. Here are some facts:
1. Charlie's only son is either Sam or Alex.
2. Jordan's sister is either Alex or Charlie.
3. Jordan is either Sam's brother or Sam's only daughter.
Who is the opposite gender from the other three?","Charlie is the opposite gender.
If Jordan is Sam's only daughter, then Jordan cannot have a sister. Therefore, Jordan must be Sam's brother and a male.
If Jordan's sister is Alex, then fact 1 tells us that Sam is Charlie's only son. But since Jordan is Sam's brother, Sam cannot be Charlie's only son. Therefore, Charlie must be Jordan's sister.
Since Sam is Jordan and Charlie's sibling, Alex must be Charlie's son. Now we know that Alex and Jordan are male, while Charlie is female.",,3.12,2.24
Who Robbed the Bank?,"The angry chief of police did roar,
""Who robbed the bank out of you four?""
When Al was asked, he said right then,
""The thief was Ben! The thief was Ben!""
Ben said to the policin' man,
""The thief was Dan! The thief was Dan!""
When Carl was questioned, he exclaimed,
""I'm not the one who should be blamed!""
When Dan was questioned, he replied,
""When Ben said it was me, he lied!""
If three of four suspects speak true,
And one speaks false, then who oh who?
And what if only one was frank?
But most of all, who robbed the bank?","If only one is lying, Ben robbed the bank.
If only one is telling the truth, Carl robbed the bank.
Since Dan's statement was that Ben was lying, exactly one of these two must be telling the truth and the other must be lying. If Ben is telling the truth and Dan is lying, Dan must be the thief, which means that Al is lying and Carl is telling the truth. But now we have two truthtellers and two liars. So this cannot be right.
Therefore, if there is only one liar, it must be Ben. Al can only be telling the truth if Ben was the robber. If there is only one truthteller, it must be Dan. Carl can only be lying if Carl was the robber.",,3.12,1.47
Cats Have 9 Squares,"9 cats Andar, Balak, Collo, Erec, Indan, Kyft, Meva, Qupuwu, & Yitsim are positioned in a 3 by 3 grid; you know 3 things about them:
1. Balak, the leader, always sits in the top left.
2. Erec, the kitten, never sits in the top row.
3. None of the adjacent cats (even diagonal) share a single letter.
Where are they positioned?","Balak; Yitsim; Andar
Erec; Qupuwu; Collo
Indan; Kyft; Meva
Steps:
1. Qupuwu is the only one to share no letters, therefore they must be in the middle.
2. The only 2 to not share a letter with Balak are Yitsim & Erec; Erec cannot be in the top row, so Erec is below Balak & Yitsim is beside.
Balak; Yitsim; ????
Erec; Qupuwu; ????
????; ????; ????
3. Since there are 4 ""A"" names, they must go in the corners. The remaining ""A"" names are Andar, Indan, & Meva. For the corner next to Yitsim only Andar can go there because of Indan's ""I"" and Meva's ""M"".
4. The remaining name to not share a letter with Yitsim is Collo, so they go below Andar.
Balak; Yitsim; Andar
Erec; Qupuwu; Collo
????; ????; ????
5. Kyft must go in the center of the last row because of the previously mentioned 4 ""A""s.
6. Meva & Erec can not be next to each other so Indan is below Erec & Meva is below Collo.
Balak; Yitsim; Andar
Erec; Qupuwu; Collo
Indan; Kyft; Meva",Meva is in a corner.,3.11,1.92
