Title,Question,Answer,Hint,Popularity/Fun,Difficulty
Grandmas and Trolls,"You are on your way to visit your Grandma, who lives at the end of the valley. It's her birthday, and you want to give her the cakes you've made.
Between your house and her house, you have to cross 7 bridges, and as it goes in the land of make believe, there is a troll under every bridge! Each troll, quite rightly, insists that you pay a troll toll. Before you can cross their bridge, you have to give them half of the cakes you are carrying, but as they are kind trolls, they each give you back a single cake.
How many cakes do you have to leave home with to make sure that you arrive at Grandma's with exactly 2 cakes?","2: At each bridge you are required to give half of your cakes, and you receive one back. Which leaves you with 2 cakes after every bridge.",,3.22,1.39
The Troll Bridge 3,"A bridge was guarded by an evil troll. The troll was very intelligent, but he was also a coward. He was afraid of anyone smarter than him. So every time anyone tried to cross the bridge, the troll would set up a test. If the traveler passed the test, he would be allowed to cross. Otherwise, the troll would eat him.
A judge named Oscar came across the bridge. The troll said, ""You may only cross my bridge if you know the password."" He then wrote 26 equations on a rock: A=1, B=2, and so on until Z=26.
""Today's password is the name of a woman,"" said the troll. ""The woman's name has the same 'product' as the word JUDGE, that is, 10*21*4*7*5. It also has the same number of letters as JUDGE. However it has no letters in common with JUDGE.""
""When the first and second letters in the woman's name are switched around, the letters are in alphabetical order.""
""Finally,"" said the troll, ""the woman's name does not contain the letter C because I despise the number 3.""
So, what is the password? And why couldn't the troll use similar rules to create a password using the name OSCAR rather than the word JUDGE?","The password is FANNY.
The woman's name cannot contain G or U, so since 14 is the only other multiple of 7 to be less than or equal to 26, the name must contain two N's. Dividing by 14 twice, we get 10*3*5.
Since two of these numbers are divisible by 5, the name must contain either two letters divisible by 5 or one letter divisible by 25. It obviously cannot contain E or J. It cannot contain T because 10*3*5 is not divisible by 20. It cannot contain O because dividing 10*3*5 by 15 gives us 10, which would mean that E or J is in the name. So it must contain Y. Dividing by 25 gives us 2*3.
2*3 is one of only two pairs of numbers that multiplies to give us 6, the other being 1*6. So the remaining two letters must be either B and C or A and F. But since C is not in the password, the remaining two letters must be A and F.
Putting the five letters in order, we get AFNNY. Switching around the first two letters, we get FANNY.
The reason why the troll couldn't use similar rules to create a password using the name OSCAR is because S is the 19th letter of the alphabet, and 19 is a prime number and the only number less than or equal to 26 to be a multiple of 19.","1. It is unnecessary, and even inconvenient, to multiply 10*21*4*7*5.
2. This puzzle requires knowledge of women's first names.",3.19,2.45
Different Equals,"Can you share 1/4 of a pie, 1/3 of a pie, 1/2 of a pie, 2/3 of a pie, 3/4 of a pie, and a whole pie so that two people have the same amount of pie without making any cuts?
If so, how?","Yes; 1/3 + 2/3 + 1/4 + 1/2 = 1 + 3/4
(Alternately 1/3 + 2/3 + 3/4 = 1 + 1/4 + 1/2)",,3.18,1.37
The Length of the Train,"Al and Ben are standing back to back next to a railroad track. When the front of a train passes them, Al starts to walk in the opposite direction of the train, while Ben starts to walk in the same direction as the train. Each stops walking when the back of the train passes him. If the two of them walk at the same speed, and Al walks exactly 30 feet, and Ben walks exactly 45 feet, how long is the train?","The train is 180 feet long.
When the back of the train passes Al, he and Ben have both walked 30 feet, meaning Ben will walk 15 feet more when the train passes him. 30 feet that Al walks plus 45 feet that Ben walks makes 75 feet that the back of the train travels in the same time that Ben walks 15 feet, meaning the train is 5 times as fast as Al and Ben.
In the time it takes Al to walk 30 feet, the front of the train moves 150 feet. This distance plus the 30 feet that Al has walked equals 180 feet.",,3.18,3.0
2 and 2 = 5,"Two 2s can be combined in many ways to express different numbers. Here are some!
2-2=0
2/2 = 1
.2 + 2 = 2.2
(2^2)! = 24  (4! means 4x3x2x1) (2^2 is 2 to the power of 2)
**CHALLENGE!**
Can you write an expression that has the value of exactly 5, using:
* two, and only two, 2s, and
* any mathematical symbols or operations?
You may not use any other numbers. The symbols used would be known by most high school maths students.
The hint below lists the symbols that are used in this solution. Even with that information, it is a worthy challenge!
Of course, other solutions may be possible! Solvers should write these in the Comments section.","The square root of point 2 to the power of minus 2.
sqrt ( (.2)^(-2) )
.2^(-2) is the same as 1/0.04, i.e. 25
[Point 2 is usually written as 0.2, but .2 is also correct.]","These operations or symbols are used, in some order:
* exponent (index or power)
* a minus (-) sign
* brackets
* square root
* a decimal point",3.13,3.32
Aunt's Ol' Jalopy,"After visiting my Great Aunt Annie, I travelled home in her old jalopy. The car was old and battered, it had a leak from the petrol tank, and I was stuck in second gear.
This meant that I could only travel along at a steady 30 miles per hour and managed a paltry 20 miles per gallon of fuel.
At the start of the journey I had placed exactly 10 gallons of fuel into the tank. I knew though, that the fuel tank lost fuel at the rate of half a gallon per hour.
Just as I arrived home, the car stopped because it had run out of fuel and I had only just made it.
How far was it from my Great Aunt's to my home?","150 miles.
I was travelling at 30mph at a rate of 20mpg, so I was using 1.5 gallons every hour for the driving itself.  I was also losing 0.5 gallon every hour, so in total, I was using 2 gallons every hour.  Therefore to use all of the 10 gallons I started with, I travelled for 5 hours.
5 hours at 30mph is 150 miles.",,3.13,1.68
Party Handshakes,"There are a large number of people at a party. As there naturally are a lot of people who haven't met each other before, numerous handshakes occur. Assume that each individual handshake occurs between exactly two people.
Are there an even or odd number of people at the party who shook hands with an odd number of people?","There must be an EVEN number of people who shook hands with an odd number of people. For convenience I will refer to that number as X and the number of people any individual person has shaken hands with as their handshake number.
Begin with nobody having shaken hands with each other. X is equal to zero and is therefore even. (Everyone's handshake number is zero, which is even.) There are now three cases to consider when any two people shake hands.
A: Both of their handshake numbers are odd.
X decreases by two as both people no longer have an odd handshake number.
B: Both of their handshake numbers are even.
X increases by two as both people now have an odd handshake number.
C: One handshake number is odd and the other is even.
X does not change.
As X starts as an even number and can only increase or decrease by an even number, it will always be even.",,3.12,2.23
The Froopaloop Island Ferry,"Every two hours, a ferry leaves Froopaloop Island and heads due east to the mainland, taking exactly one hour. Then it leaves the mainland and heads due west back to the island, again taking exactly one hour. Then it repeats.
Instead of taking the ferry to Froopaloop Island, Heather prefers to do something very risky: she dons her gorgeous white bikini and swims to the island. (The inhabitants of the island don't know what she looks like with clothes on.)
One day, Heather left the mainland terminal at exactly the same time the ferry left the island terminal. Exactly 50 minutes later, the ferry passed her.
Assuming both Heather and the ferry travel at a constant speed, and ignoring the time the ferry spends at the mainland terminal, how much time passed between the ferry passing Heather in the opposite direction and passing her in the same direction?","Twenty-five minutes passed.
When the ferry first passes Heather, it still has 10 minutes to reach the mainland, which means it can travel the same distance in 10 minutes that Heather can in 50 minutes, and therefore is 5 times as fast.
If the distance between the two terminals is x, and the distance Heather has travelled when the ferry passes her the second time is y, then the distance the ferry would have travelled at that time is x+y. Therefore, x+y=5x, which means that y=4x. Since x takes 60 minutes for the ferry, y must take 15 minutes, and x+y must take 75 minutes.
Therefore, the time between Heather leaving the mainland and the ferry passing her for the second time is 75 minutes, and the time between the first and second times the ferry passed her is 75-50, or 25, minutes.","Fifty minutes after leaving the island terminal, the ferry will go in the opposite direction of Heather.",3.09,2.09
Sum-day Soon,"Some people believe that January 1, 2000 is the first day of the 21st century. Other people believe that the honor belongs to January 1, 2001. But everyone should agree that January 1, 2002 is the first ""sum-day"" of the new century- when you write out that date in standard notation, it becomes 01/01/02, and 1+1=2. More generally, a sum-day is a date in which the day and month add up to the year. With that in mind:
A) What is the last sum-day of the 21st century?
B) How many sum-days are there in the 21st century?","A) The last sum-day of the 21st century is December 31, 2043, because 12+31=43, and both the month and day are as big as possible.
B) This one is much easier than you might think. The correct answer is 365, because every day in a standard (non-leap) year is part of a sum-day for some year. For example, November 26 is a sum-day for the year 2037, because 11+26=37. The only date for which this principle doesn't work is the leap day, February 29. That's because 2+29=31, but 2031 is not a leap year.",,3.03,2.23
What Do You Get?,"Looking at the 3 ""equations"" below, what is the answer to the 4th one?
8 + 2 = 16106
5 + 4 = 2091
9 + 6 = 54153
7 + 3 = ?","21104
To arrive at each answer you first multiply the two numbers, then add the two numbers, and finally subtract the two numbers.  Your final answer is each of these answers strung together.",,3.0,1.21
