,Count,DSChat+basicprompt,DSChat+mathPrompt,DSChat+hintPrompt,DSChat+combinedhintPrompt,DSReason+basicprompt,DSReason+mathPrompt,DSReason+hintPrompt,DSReason+combinedhintPrompt,GeminiFlash+basicprompt,GeminiFlash+mathPrompt,GeminiFlash+hint_prompt,GeminiFlash+combinedhintPrompt,Qwen1+basicprompt,Qwen1+mathPrompt,Qwen1+hintPrompt,Qwen1+combinedhintPrompt,Qwen14+basicprompt,Qwen14+mathPrompt,Qwen14+hintPrompt,Qwen14+combinedhintPrompt,Qwen70+basicprompt,Qwen70+mathPrompt,Qwen70+hintPrompt,Qwen70+combinedhintPrompt,GPT-o3+basicprompt,GPT-o3+mathPrompt,GPT-o3+combinedhintPrompt,GPT-o3+hint_prompt
Simple/large,95,0.3052631579,0.3894736842,0.3684210526,0.3263157895,0.3578947368,0.4105263158,0.3789473684,0.4315789474,0.4842105263,0.5157894737,0.5052631579,0.4947368421,0.03157894737,0.04210526316,0.04210526316,0.03157894737,0.1578947368,0.1789473684,0.2210526316,0.2210526316,0.1578947368,0.1894736842,0.2,0.2315789474,0.6631578947,0.6947368421,0.7157894737,0.6526315789
0D,29,0.4137931034,0.3793103448,0.4137931034,0.3103448276,0.3448275862,0.4482758621,0.4137931034,0.4827586207,0.4482758621,0.5172413793,0.5172413793,0.5172413793,0.06896551724,0.06896551724,0.06896551724,0.03448275862,0.2413793103,0.1724137931,0.1724137931,0.275862069,0.1724137931,0.2068965517,0.2068965517,0.1379310345,0.7931034483,0.6896551724,0.7586206897,0.724137931
1D,13,0.3846153846,0.6153846154,0.4615384615,0.4615384615,0.5384615385,0.5384615385,0.4615384615,0.5384615385,0.6153846154,0.5384615385,0.5384615385,0.6153846154,0,0,0,0,0.2307692308,0.2307692308,0.3076923077,0.3076923077,0.2307692308,0.2307692308,0.2307692308,0.4615384615,0.5384615385,0.6923076923,0.6153846154,0.5384615385
2D,22,0.04545454545,0.2727272727,0.2272727273,0.1818181818,0.1363636364,0.1818181818,0.1818181818,0.1363636364,0.2727272727,0.3636363636,0.2727272727,0.1818181818,0,0,0,0,0,0.04545454545,0.04545454545,0.04545454545,0,0.09090909091,0,0.04545454545,0.3636363636,0.4545454545,0.4545454545,0.3636363636
Number,17,0.5294117647,0.5882352941,0.5294117647,0.5882352941,0.7058823529,0.8235294118,0.7647058824,0.8235294118,0.9411764706,0.9411764706,1,0.9411764706,0,0.05882352941,0.05882352941,0.05882352941,0.2941176471,0.4705882353,0.5294117647,0.4705882353,0.4117647059,0.4117647059,0.5294117647,0.5882352941,0.9411764706,1,1,1
Clusters,8,0,0.125,0,0,0,0,0,0.125,0.125,0.25,0.25,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0.875,1,0.75
Tree,6,0.3333333333,0.1666666667,0.5,0.3333333333,0.3333333333,0.1666666667,0.1666666667,0.3333333333,0.3333333333,0.1666666667,0.1666666667,0.3333333333,0.1666666667,0.1666666667,0.1666666667,0.1666666667,0,0,0.3333333333,0,0,0,0.1666666667,0.1666666667,0.5,0.5,0.5,0.5
Complex/small,30,0.4333333333,0.4666666667,0.4333333333,0.5,0.6666666667,0.5666666667,0.7,0.7333333333,0.8,0.8333333333,0.8,0.7666666667,0,0,0.03333333333,0,0.4,0.4333333333,0.5,0.4333333333,0.4666666667,0.4,0.4,0.5,0.8666666667,0.8666666667,0.9,0.9
Liars,17,0.4705882353,0.4117647059,0.4705882353,0.5294117647,0.7058823529,0.7058823529,0.7058823529,0.8235294118,0.8823529412,0.8823529412,0.8235294118,0.7647058824,0,0,0,0,0.3529411765,0.4117647059,0.4705882353,0.4705882353,0.5294117647,0.4117647059,0.4705882353,0.5294117647,0.8823529412,0.8823529412,0.9411764706,1
Communication,4,0,0.25,0.25,0.5,0.25,0,0.5,0.25,0.75,0.5,0.75,0.75,0,0,0,0,0,0.5,0.25,0.25,0,0,0,0.25,0.75,0.5,0.75,0.5
