,Count,DSChat+basicprompt,DSChat+mathPrompt,DSChat+hintPrompt,DSChat+combinedhintPrompt,DSReason+basicprompt,DSReason+mathPrompt,DSReason+hintPrompt,DSReason+combinedhintPrompt,GeminiFlash+basicprompt,GeminiFlash+mathPrompt,GeminiFlash+hint_prompt,GeminiFlash+combinedhintPrompt,Qwen1+basicprompt,Qwen1+mathPrompt,Qwen1+hintPrompt,Qwen1+combinedhintPrompt,Qwen14+basicprompt,Qwen14+mathPrompt,Qwen14+hintPrompt,Qwen14+combinedhintPrompt,Qwen70+basicprompt,Qwen70+mathPrompt,Qwen70+hintPrompt,Qwen70+combinedhintPrompt,GPT-o3+basicprompt,GPT-o3+mathPrompt,GPT-o3+combinedhintPrompt,GPT-o3+hint_prompt
Standard,138,0.6376811594,0.5942028986,0.6014492754,0.6086956522,0.6956521739,0.6884057971,0.7246376812,0.7463768116,0.3623188406,0.7101449275,0.7173913043,0.7391304348,0.2391304348,0.2536231884,0.2028985507,0.2391304348,0.5072463768,0.5,0.4855072464,0.4927536232,0.5217391304,0.5,0.5144927536,0.5072463768,0.8115942029,0.7898550725,0.7971014493,0.8260869565
Geometry,24,0.4166666667,0.2916666667,0.4166666667,0.5416666667,0.4166666667,0.375,0.5833333333,0.5,0.1666666667,0.5416666667,0.5416666667,0.5833333333,0.25,0.125,0.1666666667,0.08333333333,0.2916666667,0.4166666667,0.2916666667,0.2916666667,0.4166666667,0.375,0.2916666667,0.3333333333,0.5833333333,0.6666666667,0.6666666667,0.6666666667
Number Theory,34,0.7352941176,0.6764705882,0.6764705882,0.6764705882,0.7647058824,0.8235294118,0.7352941176,0.8529411765,0.1176470588,0.7352941176,0.7941176471,0.8823529412,0.2647058824,0.4411764706,0.2058823529,0.3235294118,0.5882352941,0.5588235294,0.4705882353,0.6764705882,0.4705882353,0.5294117647,0.5588235294,0.6176470588,0.8529411765,0.8529411765,0.8823529412,0.8235294118
Combinatorics,24,0.5833333333,0.625,0.6666666667,0.5,0.7083333333,0.6666666667,0.7083333333,0.75,0.5,0.625,0.625,0.625,0.1666666667,0.25,0.2083333333,0.2916666667,0.4583333333,0.4166666667,0.5,0.3333333333,0.5,0.4166666667,0.4166666667,0.4583333333,0.875,0.75,0.7916666667,0.8333333333
Algebra,56,0.6964285714,0.6607142857,0.6071428571,0.6428571429,0.7678571429,0.75,0.7857142857,0.7857142857,0.5357142857,0.8035714286,0.7857142857,0.7678571429,0.25,0.1964285714,0.2142857143,0.2321428571,0.5714285714,0.5357142857,0.5714285714,0.5357142857,0.6071428571,0.5714285714,0.625,0.5357142857,0.8571428571,0.8214285714,0.8035714286,0.8928571429
Nonstandard,58,0.5517241379,0.6206896552,0.5344827586,0.6379310345,0.724137931,0.7413793103,0.775862069,0.7413793103,0.5,0.6724137931,0.7586206897,0.7931034483,0.1206896552,0.1034482759,0.1034482759,0.08620689655,0.3793103448,0.4827586207,0.4827586207,0.3965517241,0.4137931034,0.4310344828,0.4655172414,0.4137931034,0.8620689655,0.8275862069,0.8965517241,0.8620689655
Logic,29,0.4827586207,0.5172413793,0.4482758621,0.5517241379,0.6551724138,0.6206896552,0.6551724138,0.6551724138,0.4827586207,0.5172413793,0.724137931,0.6896551724,0.06896551724,0.03448275862,0.03448275862,0.03448275862,0.3103448276,0.4137931034,0.3448275862,0.1379310345,0.4482758621,0.4482758621,0.4137931034,0.3103448276,0.8275862069,0.7586206897,0.8620689655,0.8275862069
Special Number,29,0.6206896552,0.724137931,0.6206896552,0.724137931,0.7931034483,0.8620689655,0.8965517241,0.8275862069,0.5172413793,0.8275862069,0.7931034483,0.8965517241,0.1724137931,0.1724137931,0.1724137931,0.1379310345,0.4482758621,0.5517241379,0.6206896552,0.6551724138,0.3793103448,0.4137931034,0.5172413793,0.5172413793,0.8965517241,0.8965517241,0.9310344828,0.8965517241
Heuristic,46,0.5,0.4130434783,0.5217391304,0.5,0.5652173913,0.6739130435,0.6956521739,0.6956521739,0.3260869565,0.4782608696,0.5652173913,0.6086956522,0.04347826087,0,0.08695652174,0.1304347826,0.1956521739,0.2608695652,0.3043478261,0.3043478261,0.1956521739,0.1739130435,0.3043478261,0.3260869565,0.6956521739,0.8043478261,0.8043478261,0.847826087
Pattern,28,0.4642857143,0.3571428571,0.5,0.4285714286,0.4642857143,0.6428571429,0.6428571429,0.6071428571,0.2857142857,0.4285714286,0.4642857143,0.5714285714,0,0,0.1071428571,0.1428571429,0.2142857143,0.2142857143,0.2857142857,0.3214285714,0.25,0.1785714286,0.3214285714,0.3571428571,0.6071428571,0.75,0.7857142857,0.8571428571
Arithmetic,18,0.5555555556,0.5,0.5555555556,0.6111111111,0.7222222222,0.7222222222,0.7777777778,0.8333333333,0.3888888889,0.5555555556,0.7222222222,0.6666666667,0.1111111111,0,0.05555555556,0.1111111111,0.1666666667,0.3333333333,0.3333333333,0.2777777778,0.1111111111,0.1666666667,0.2777777778,0.2777777778,0.8333333333,0.8888888889,0.8333333333,0.8333333333
